iter	RMSE
0	11831.32205
1	11510.3235
2	11243.08966
3	10944.29463
4	10677.93323
5	10422.74423
6	10170.67434
7	9943.35849
8	9704.76351
9	9487.935696
10	9272.471741
11	9060.21075
12	8843.266905
13	8684.146326
14	8496.050072
15	8315.136412
16	8133.438643
17	7970.322773
18	7819.776573
19	7670.2945
20	7515.64582
21	7365.344508
22	7213.210064
23	7076.288089
24	6957.171817
25	6841.479003
26	6732.876392
27	6629.606306
28	6529.642169
29	6425.703722
30	6331.742211
31	6244.86095
32	6157.355215
33	6076.494883
34	6003.47157
35	5926.522836
36	5863.029902
37	5786.348085
38	5719.338372
39	5655.187069
40	5591.69546
41	5543.470307
42	5498.235581
43	5448.505489
44	5402.412793
45	5354.569083
46	5305.27399
47	5255.967686
48	5210.498135
49	5176.49254
50	5146.807769
51	5117.909324
52	5085.542717
53	5054.271501
54	5028.312726
55	5001.078212
56	4975.55052
57	4950.575905
58	4920.998991
59	4897.639542
60	4867.63345
61	4846.202805
62	4830.527576
63	4808.778305
64	4788.067996
65	4767.867473
66	4749.655078
67	4734.827959
68	4722.513141
69	4706.499515
70	4696.509254
71	4680.678664
72	4668.904364
73	4656.291671
74	4640.029892
75	4629.556086
76	4619.11459
77	4609.842992
78	4602.148162
79	4596.59797
80	4588.909024
81	4583.808586
82	4576.968308
83	4566.743263
84	4560.81249
85	4550.073199
86	4539.427314
87	4532.002694
88	4524.779556
89	4516.123882
90	4508.777579
91	4502.772882
92	4497.156214
93	4490.755969
94	4485.407554
95	4476.068589
96	4468.991291
97	4460.945703
98	4451.925424
99	4446.983747
100	4437.37328
101	4432.841697
102	4426.888882
103	4423.520432
104	4414.493568
105	4409.331603
106	4402.091654
107	4395.735073
108	4391.116435
109	4385.46462
110	4379.539981
111	4376.26986
112	4372.009678
113	4367.049528
114	4362.875032
115	4353.700273
116	4344.129598
117	4338.846421
118	4331.269525
119	4323.318234
120	4318.318759
121	4312.563163
122	4308.705817
123	4301.449565
124	4296.317708
125	4291.560043
126	4287.063377
127	4281.684968
128	4276.877084
129	4269.699428
130	4265.602732
131	4260.718133
132	4253.879047
133	4251.517451
134	4247.930902
135	4244.646593
136	4241.026169
137	4235.842245
138	4232.456362
139	4227.110417
140	4220.434016
141	4212.293152
142	4205.994507
143	4202.841354
144	4196.503183
145	4188.51734
146	4182.663891
147	4171.902425
148	4165.74526
149	4158.657432
150	4150.928798
151	4145.922934
152	4140.620654
153	4132.757135
154	4126.722766
155	4120.566144
156	4115.461492
157	4107.24718
158	4100.752866
159	4092.492775
160	4086.034174
161	4079.681245
162	4073.096944
163	4069.710658
164	4065.425988
165	4060.600569
166	4055.073278
167	4049.471904
168	4041.1737
169	4037.885102
170	4033.952921
171	4027.294893
172	4024.354664
173	4020.819884
174	4015.949927
175	4012.298871
176	4007.233208
177	4003.82326
178	4000.256544
179	3997.713128
180	3992.963373
181	3990.061156
182	3987.516043
183	3983.943937
184	3974.739708
185	3972.304688
186	3967.858717
187	3963.205642
188	3959.076977
189	3954.111086
190	3946.928669
191	3941.727485
192	3935.301014
193	3929.772765
194	3922.715934
195	3917.686155
196	3912.644787
197	3906.234119
198	3902.163284
199	3897.828448
200	3892.19091
201	3887.241353
202	3881.561674
203	3879.025925
204	3874.734844
205	3871.951077
206	3868.734386
207	3863.889395
208	3857.034966
209	3853.552705
210	3849.511126
211	3845.782099
212	3838.601412
213	3835.409212
214	3830.953412
215	3826.578721
216	3820.251647
217	3815.163342
218	3811.425599
219	3805.626534
220	3801.701872
221	3797.92221
222	3795.339959
223	3789.332183
224	3785.552979
225	3782.386277
226	3779.745512
227	3774.647832
228	3771.94448
229	3766.882889
230	3762.994376
231	3758.317726
232	3754.233519
233	3750.953951
234	3746.998313
235	3741.338057
236	3736.38566
237	3732.836338
238	3728.468653
239	3726.860666
240	3722.342993
241	3717.941397
242	3715.67487
243	3711.647555
244	3707.808052
245	3703.137822
246	3696.656811
247	3691.77025
248	3685.209053
249	3678.332989
250	3676.107526
251	3671.631985
252	3665.143194
253	3660.740342
254	3658.494461
255	3652.243051
256	3648.019819
257	3644.811721
258	3638.914902
259	3633.786725
260	3630.130679
261	3625.852305
262	3619.806571
263	3614.313327
264	3611.445543
265	3607.828036
266	3606.132906
267	3602.885559
268	3597.461101
269	3595.459038
270	3591.804582
271	3585.089113
272	3582.045346
273	3580.057749
274	3577.085373
275	3572.658338
276	3568.354902
277	3563.508085
278	3559.353933
279	3554.130344
280	3549.624264
281	3546.294978
282	3541.399614
283	3539.675684
284	3537.916761
285	3534.920899
286	3532.966752
287	3531.244846
288	3525.503776
289	3522.720227
290	3519.899386
291	3518.633628
292	3515.619322
293	3513.458739
294	3511.925941
295	3508.626768
296	3506.812204
297	3502.768926
298	3496.680868
299	3493.69174
300	3489.875214
301	3486.179854
302	3482.911788
303	3480.846094
304	3478.85151
305	3477.504242
306	3475.897014
307	3471.16369
308	3469.727789
309	3467.72679
310	3464.247667
311	3458.798684
312	3456.990026
313	3453.481169
314	3451.612607
315	3446.9253
316	3441.781741
317	3437.310056
318	3432.453938
319	3430.543319
320	3425.564427
321	3423.697609
322	3421.857902
323	3418.163918
324	3413.580613
325	3408.64516
326	3407.500771
327	3403.510045
328	3401.514477
329	3396.933467
330	3393.159559
331	3389.551548
332	3385.365688
333	3382.611414
334	3377.954917
335	3376.717549
336	3371.935107
337	3368.169079
338	3361.427942
339	3359.463802
340	3354.670809
341	3351.156776
342	3348.729951
343	3346.167413
344	3342.762356
345	3338.669665
346	3334.180522
347	3330.826291
348	3329.818512
349	3328.345982
350	3325.262734
351	3320.585308
352	3317.86315
353	3313.947405
354	3310.155338
355	3307.764242
356	3305.893786
357	3301.737607
358	3298.129179
359	3294.143575
360	3289.984482
361	3288.315207
362	3284.529587
363	3282.341172
364	3279.354998
365	3276.300637
366	3273.179826
367	3271.028157
368	3268.009197
369	3267.618575
370	3262.94854
371	3259.79021
372	3258.621996
373	3250.857123
374	3247.891417
375	3243.634498
376	3237.791194
377	3234.287366
378	3230.551027
379	3226.561968
380	3222.493574
381	3220.155402
382	3218.090612
383	3213.845359
384	3209.155763
385	3208.233543
386	3204.502605
387	3201.998873
388	3198.29431
389	3196.03172
390	3195.14089
391	3191.146919
392	3185.354191
393	3180.313353
394	3178.077293
395	3176.380446
396	3173.151814
397	3172.318354
398	3169.580992
399	3166.086286
400	3164.589639
401	3162.477526
402	3159.942098
403	3156.585809
404	3151.234891
405	3146.109172
406	3142.406043
407	3139.334107
408	3134.889124
409	3131.397135
410	3127.831469
411	3123.8788
412	3119.791167
413	3116.962957
414	3113.610971
415	3110.623087
416	3106.067209
417	3103.348768
418	3098.912157
419	3095.971669
420	3091.633732
421	3088.886227
422	3086.995158
423	3082.898
424	3079.918258
425	3075.814566
426	3072.054846
427	3068.761504
428	3067.31551
429	3063.978093
430	3059.156931
431	3056.104412
432	3053.632515
433	3051.776945
434	3049.865508
435	3047.58776
436	3044.810356
437	3038.845194
438	3036.711738
439	3035.89411
440	3035.076729
441	3033.93888
442	3032.832545
443	3029.558892
444	3025.701421
445	3019.374492
446	3015.917566
447	3015.152861
448	3012.674955
449	3009.609225
450	3007.201709
451	3004.239539
452	3000.814665
453	3000.127627
454	2997.810865
455	2995.285774
456	2994.614971
457	2991.850238
458	2989.767155
459	2985.47288
460	2982.600574
461	2980.881248
462	2974.419558
463	2971.409832
464	2969.954448
465	2966.602749
466	2965.962398
467	2962.803134
468	2959.730407
469	2959.099559
470	2956.130172
471	2954.939814
472	2954.252764
473	2951.273153
474	2948.450847
475	2945.928993
476	2942.990242
477	2942.222463
478	2939.667463
479	2937.226524
480	2935.30871
481	2929.382041
482	2926.354672
483	2920.68958
484	2920.043257
485	2917.026404
486	2915.166907
487	2914.323749
488	2912.391595
489	2910.30116
490	2909.712147
491	2906.998805
492	2906.056914
493	2904.280174
494	2903.233996
495	2899.164842
496	2896.082572
497	2894.026039
498	2889.969708
499	2884.175495
500	2882.8273
501	2881.545241
502	2880.112988
503	2877.677587
504	2876.240715
505	2874.541027
506	2873.108464
507	2871.546256
508	2868.233192
509	2864.943694
510	2862.800266
511	2861.394431
512	2859.252459
513	2858.223607
514	2857.169594
515	2855.348866
516	2854.054247
517	2853.52983
518	2848.049162
519	2847.841521
520	2845.554078
521	2842.344922
522	2840.972189
523	2837.897467
524	2835.183902
525	2833.86513
526	2831.181682
527	2829.428942
528	2827.212629
529	2825.835129
530	2823.247441
531	2820.793893
532	2819.464773
533	2817.341229
534	2814.459889
535	2812.521023
536	2811.265894
537	2809.963837
538	2803.711116
539	2802.697714
540	2800.037654
541	2798.990703
542	2795.594909
543	2794.843552
544	2794.650594
545	2792.091364
546	2791.268359
547	2789.957979
548	2788.973883
549	2787.600516
550	2784.980869
551	2782.196565
552	2779.445509
553	2775.67483
554	2774.20786
555	2773.758279
556	2771.560461
557	2769.718815
558	2767.776071
559	2763.19289
560	2761.308549
561	2757.302002
562	2756.252877
563	2751.439695
564	2749.671527
565	2747.272629
566	2746.471634
567	2745.406752
568	2743.015097
569	2740.099906
570	2739.128514
571	2738.504752
572	2736.468507
573	2735.22957
574	2734.54659
575	2733.339137
576	2732.501718
577	2732.212128
578	2730.407425
579	2727.892173
580	2725.376438
581	2723.843348
582	2722.677956
583	2720.902741
584	2720.378449
585	2718.152327
586	2716.020927
587	2713.437819
588	2711.065018
589	2708.035059
590	2705.327991
591	2704.140637
592	2702.979002
593	2700.362321
594	2700.171336
595	2699.978785
596	2698.036877
597	2693.191425
598	2692.13807
599	2690.912993
600	2688.467815
601	2687.328472
602	2685.129921
603	2682.615661
604	2680.773461
605	2679.144933
606	2676.993849
607	2672.916065
608	2672.449004
609	2670.18095
610	2668.434018
611	2666.490788
612	2664.881287
613	2660.791693
614	2655.428196
615	2652.354703
616	2651.605449
617	2650.523531
618	2648.683241
619	2646.924296
620	2641.996073
621	2640.793225
622	2640.243417
623	2638.800668
624	2636.787249
625	2635.258784
626	2632.224585
627	2630.184821
628	2628.134987
629	2626.397689
630	2625.063991
631	2624.490959
632	2621.876715
633	2621.4357
634	2618.881979
635	2617.021306
636	2613.651465
637	2612.46614
638	2610.749778
639	2607.057466
640	2605.424243
641	2604.859492
642	2602.15674
643	2600.130508
644	2597.883748
645	2597.703436
646	2595.707373
647	2593.387196
648	2591.595828
649	2590.141368
650	2587.607213
651	2584.855591
652	2582.414219
653	2580.929676
654	2579.388415
655	2576.217193
656	2575.714789
657	2573.33906
658	2571.72505
659	2569.301988
660	2566.504715
661	2564.173201
662	2560.137322
663	2559.252777
664	2556.864718
665	2554.160017
666	2551.934128
667	2550.134188
668	2547.796949
669	2546.131537
670	2543.329657
671	2540.313642
672	2539.773645
673	2537.578296
674	2535.227385
675	2530.363407
676	2528.27351
677	2526.498224
678	2525.529753
679	2523.980035
680	2523.162792
681	2520.018075
682	2519.551248
683	2518.049647
684	2515.949969
685	2513.423511
686	2509.878629
687	2507.129701
688	2505.10836
689	2504.033882
690	2503.589598
691	2502.127457
692	2500.436863
693	2498.49277
694	2497.974922
695	2496.433398
696	2494.262295
697	2492.644583
698	2487.941755
699	2485.13045
700	2481.994763
701	2480.483543
702	2475.521887
703	2470.793079
704	2469.092173
705	2467.08203
706	2466.952297
707	2464.191779
708	2463.264185
709	2460.141205
710	2458.179639
711	2456.238072
712	2453.979957
713	2453.15278
714	2449.245387
715	2447.690544
716	2446.466602
717	2445.578349
718	2444.143678
719	2441.946717
720	2439.314967
721	2436.432408
722	2434.133682
723	2432.324492
724	2430.261995
725	2428.996479
726	2427.86483
727	2426.608724
728	2425.720135
729	2423.942676
730	2423.270175
731	2420.695783
732	2419.840098
733	2418.890486
734	2414.737151
735	2412.050304
736	2409.337368
737	2406.765556
738	2405.266733
739	2403.115923
740	2401.809173
741	2401.162871
742	2399.722144
743	2398.381045
744	2394.064013
745	2389.043165
746	2385.167371
747	2382.604595
748	2380.573548
749	2378.730862
750	2377.413444
751	2375.153167
752	2370.996774
753	2369.826511
754	2368.798282
755	2367.431904
756	2363.396878
757	2362.310723
758	2360.705257
759	2358.28743
760	2357.217323
761	2356.746383
762	2355.646567
763	2354.025653
764	2350.308472
765	2346.99377
766	2343.026533
767	2342.194226
768	2340.893165
769	2339.895091
770	2336.213213
771	2333.073608
772	2332.508234
773	2331.482812
774	2329.80499
775	2325.695028
776	2324.69689
777	2324.235579
778	2323.833191
779	2323.004523
780	2319.436502
781	2317.840931
782	2316.248264
783	2314.94583
784	2314.361293
785	2310.679854
786	2310.169858
787	2308.415468
788	2304.947846
789	2303.007345
790	2301.894873
791	2300.070423
792	2298.55564
793	2296.623383
794	2295.807833
795	2292.965464
796	2288.635086
797	2286.228925
798	2284.991996
799	2284.111045
800	2283.144373
801	2282.311515
802	2280.046484
803	2279.727738
804	2278.882513
805	2277.387359
806	2275.237915
807	2274.222975
808	2272.909049
809	2270.692254
810	2269.652804
811	2268.501444
812	2266.670811
813	2265.127199
814	2261.894995
815	2261.525564
816	2259.28973
817	2257.083874
818	2253.920883
819	2250.002044
820	2248.996166
821	2245.74588
822	2244.326332
823	2242.07374
824	2241.285513
825	2238.292786
826	2237.704921
827	2236.843571
828	2235.846219
829	2233.82261
830	2233.055801
831	2231.415569
832	2228.363517
833	2228.036828
834	2224.954589
835	2223.955266
836	2223.028224
837	2221.013606
838	2218.023521
839	2216.220322
840	2214.861202
841	2214.086554
842	2212.064864
843	2210.358983
844	2208.9943
845	2208.269272
846	2206.339502
847	2205.325788
848	2202.696406
849	2199.52523
850	2196.770647
851	2195.007491
852	2194.465108
853	2192.590905
854	2191.877244
855	2190.051577
856	2189.139385
857	2188.437133
858	2187.872468
859	2187.182681
860	2184.660655
861	2182.246832
862	2180.666149
863	2177.93865
864	2175.333309
865	2174.691392
866	2174.053044
867	2171.921451
868	2171.061847
869	2169.667084
870	2168.032174
871	2165.919074
872	2164.128687
873	2163.003816
874	2160.559307
875	2159.826529
876	2158.980771
877	2157.930013
878	2156.872235
879	2154.88855
880	2154.412618
881	2151.71678
882	2150.038115
883	2147.404827
884	2146.190453
885	2144.397339
886	2142.388577
887	2141.192756
888	2139.99783
889	2137.254473
890	2136.156079
891	2132.266204
892	2131.385642
893	2128.854934
894	2127.975179
895	2126.907195
896	2125.441265
897	2122.621448
898	2119.622357
899	2118.599552
900	2118.084382
901	2114.772427
902	2113.479916
903	2111.7079
904	2111.030482
905	2109.148154
906	2107.416568
907	2106.932935
908	2105.358247
909	2104.85663
910	2103.939681
911	2102.791313
912	2099.421983
913	2098.085776
914	2097.674489
915	2095.305298
916	2093.477557
917	2092.958719
918	2091.074375
919	2089.338356
920	2088.596093
921	2086.741944
922	2085.303909
923	2083.833684
924	2082.956492
925	2080.395644
926	2078.157196
927	2077.116853
928	2076.752103
929	2075.597626
930	2074.115778
931	2072.575768
932	2071.102432
933	2070.548747
934	2068.950773
935	2068.494686
936	2067.364525
937	2065.323664
938	2064.250815
939	2062.126596
940	2061.354827
941	2060.651326
942	2059.490586
943	2058.513968
944	2057.524086
945	2055.191412
946	2054.200092
947	2051.162539
948	2048.460175
949	2047.38929
950	2046.16492
951	2044.343795
952	2043.70563
953	2042.414615
954	2041.769304
955	2040.695738
956	2040.28592
957	2039.509373
958	2038.262396
959	2036.98993
960	2035.131432
961	2032.811481
962	2031.260499
963	2029.494013
964	2029.071103
965	2026.76611
966	2025.479295
967	2025.102328
968	2023.423777
969	2022.229718
970	2021.215513
971	2019.624694
972	2019.112595
973	2018.379995
974	2017.230383
975	2016.105129
976	2013.079344
977	2011.370787
978	2010.59412
979	2009.599631
980	2008.089535
981	2006.55504
982	2005.820448
983	2003.410833
984	2002.197756
985	2000.646052
986	1999.858993
987	1995.900071
988	1995.268759
989	1994.262292
990	1993.072214
991	1989.859181
992	1988.886849
993	1987.989965
994	1987.038274
995	1986.33996
996	1984.976188
997	1984.026035
998	1983.362674
999	1981.683883
