iter	Passed	Remaining
440	1296	1643
441	1299	1640
442	1301	1636
443	1304	1633
444	1307	1630
445	1310	1627
446	1313	1624
447	1316	1621
448	1319	1618
449	1322	1616
450	1325	1613
451	1329	1611
452	1332	1608
453	1336	1606
454	1339	1604
455	1348	1608
456	1350	1604
457	1353	1601
458	1356	1598
459	1358	1595
460	1361	1591
461	1364	1588
462	1367	1585
463	1370	1582
464	1373	1579
465	1375	1576
466	1378	1573
467	1381	1570
468	1384	1567
469	1387	1564
470	1389	1561
471	1392	1558
472	1395	1555
473	1399	1552
474	1402	1550
475	1405	1547
476	1409	1545
477	1412	1542
478	1415	1539
479	1417	1536
480	1421	1533
481	1424	1531
482	1427	1527
483	1430	1525
484	1434	1522
485	1437	1520
486	1439	1516
487	1442	1513
488	1444	1509
489	1448	1507
490	1450	1504
491	1454	1501
492	1456	1498
493	1459	1494
494	1462	1491
495	1465	1488
496	1468	1486
497	1471	1483
498	1474	1480
499	1477	1477
500	1480	1474
501	1483	1471
502	1486	1468
503	1489	1465
504	1491	1462
505	1494	1459
506	1497	1456
507	1500	1452
508	1503	1450
509	1505	1446
510	1508	1443
511	1510	1439
512	1513	1437
513	1516	1433
514	1518	1430
515	1521	1427
516	1524	1424
517	1527	1421
518	1530	1418
519	1532	1414
520	1535	1411
521	1537	1408
522	1540	1405
523	1543	1401
524	1546	1399
525	1549	1395
526	1551	1392
527	1554	1389
528	1557	1387
529	1561	1384
530	1563	1381
531	1566	1377
532	1569	1374
533	1572	1372
534	1575	1369
535	1578	1366
536	1582	1364
537	1584	1360
538	1587	1357
539	1590	1354
540	1594	1352
541	1597	1350
542	1600	1347
543	1603	1344
544	1606	1341
545	1609	1338
546	1613	1336
547	1615	1332
548	1618	1329
549	1621	1326
550	1624	1323
551	1627	1320
552	1629	1317
553	1632	1314
554	1635	1311
555	1638	1308
556	1640	1304
557	1643	1301
558	1646	1299
559	1650	1296
560	1653	1293
561	1656	1291
562	1659	1288
563	1662	1284
564	1664	1281
565	1667	1278
566	1669	1274
567	1672	1272
568	1675	1268
569	1678	1266
570	1681	1263
571	1684	1260
572	1687	1257
573	1690	1254
574	1693	1251
575	1696	1248
576	1698	1245
577	1701	1242
578	1704	1239
579	1707	1236
580	1710	1233
581	1713	1230
582	1716	1227
583	1719	1224
584	1722	1221
585	1724	1218
586	1727	1215
587	1730	1212
588	1733	1209
589	1735	1206
590	1738	1203
591	1741	1200
592	1744	1197
593	1746	1194
594	1749	1190
595	1752	1187
596	1755	1184
597	1758	1181
598	1760	1178
599	1763	1175
600	1766	1172
601	1768	1169
602	1771	1166
603	1775	1163
604	1777	1160
605	1780	1157
606	1783	1154
607	1786	1151
608	1789	1148
609	1793	1146
610	1796	1143
611	1799	1140
612	1802	1137
613	1805	1135
614	1808	1131
615	1810	1128
616	1813	1125
617	1817	1123
618	1819	1120
619	1822	1117
620	1825	1113
621	1827	1110
622	1829	1107
623	1832	1104
624	1835	1101
625	1838	1098
626	1841	1095
627	1844	1092
628	1847	1089
629	1849	1086
630	1852	1083
631	1854	1079
632	1857	1076
633	1859	1073
634	1862	1070
635	1864	1067
636	1867	1064
637	1870	1061
638	1873	1058
639	1876	1055
640	1880	1053
641	1882	1049
642	1885	1046
643	1887	1043
644	1890	1040
645	1893	1037
646	1896	1034
647	1899	1031
648	1902	1029
649	1905	1026
650	1908	1023
