iter	Passed	Remaining
431	1727	2271
432	1732	2269
433	1737	2266
434	1741	2262
435	1747	2259
436	1751	2256
437	1755	2251
438	1759	2247
439	1763	2244
440	1768	2242
441	1773	2238
442	1778	2236
443	1782	2231
444	1787	2228
445	1792	2225
446	1795	2221
447	1800	2218
448	1803	2213
449	1807	2209
450	1811	2205
451	1815	2201
452	1819	2197
453	1824	2194
454	1828	2190
455	1833	2187
456	1838	2183
457	1843	2181
458	1848	2178
459	1852	2174
460	1857	2171
461	1861	2167
462	1865	2163
463	1869	2160
464	1874	2157
465	1880	2155
466	1884	2151
467	1889	2147
468	1895	2146
469	1899	2142
470	1904	2138
471	1907	2133
472	1913	2131
473	1917	2127
474	1921	2123
475	1925	2119
476	1931	2117
477	1936	2114
478	1942	2112
479	1948	2111
480	1953	2107
481	1957	2103
482	1962	2100
483	1967	2097
484	1970	2092
485	1973	2087
486	1977	2082
487	1980	2078
488	1985	2074
489	1990	2071
490	1994	2067
491	1998	2063
492	2002	2059
493	2009	2058
494	2013	2054
495	2017	2050
496	2020	2045
497	2025	2041
498	2030	2038
499	2033	2033
500	2036	2028
501	2039	2023
502	2042	2018
503	2047	2014
504	2050	2009
505	2053	2004
506	2057	2001
507	2061	1996
508	2066	1993
509	2069	1988
510	2074	1985
511	2078	1980
512	2081	1976
513	2085	1971
514	2090	1968
515	2095	1965
516	2099	1961
517	2107	1961
518	2113	1958
519	2118	1955
520	2124	1953
521	2129	1949
522	2133	1945
523	2137	1941
524	2140	1936
525	2144	1932
526	2147	1927
527	2151	1922
528	2155	1918
529	2160	1915
530	2164	1912
531	2171	1910
532	2176	1907
533	2181	1903
534	2186	1900
535	2192	1897
536	2195	1893
537	2200	1889
538	2204	1885
539	2207	1880
540	2211	1876
541	2214	1871
542	2218	1867
543	2222	1862
544	2225	1857
545	2228	1853
546	2232	1849
547	2236	1844
548	2240	1840
549	2244	1836
550	2248	1832
551	2253	1828
552	2256	1823
553	2260	1819
554	2264	1816
555	2269	1812
556	2273	1808
557	2277	1804
558	2281	1800
559	2286	1796
560	2290	1792
561	2293	1787
562	2298	1784
563	2301	1779
564	2305	1775
565	2310	1771
566	2314	1767
567	2319	1763
568	2323	1759
569	2327	1755
570	2331	1751
571	2334	1747
572	2338	1742
573	2341	1737
574	2345	1733
575	2349	1729
576	2353	1725
577	2357	1721
578	2361	1717
579	2365	1712
580	2369	1708
581	2373	1704
582	2379	1701
583	2383	1697
584	2387	1693
585	2391	1689
586	2396	1686
587	2399	1681
588	2404	1677
589	2407	1673
590	2412	1669
591	2415	1665
592	2419	1660
593	2423	1656
594	2428	1652
595	2432	1648
596	2435	1644
597	2438	1639
598	2443	1635
599	2448	1632
600	2452	1628
601	2457	1624
602	2461	1620
603	2466	1616
604	2470	1612
605	2475	1609
606	2480	1605
607	2485	1602
608	2490	1598
609	2495	1595
610	2499	1591
611	2503	1587
612	2507	1583
613	2511	1579
614	2515	1574
615	2520	1570
616	2524	1567
617	2529	1563
618	2533	1559
619	2536	1554
620	2541	1551
621	2544	1546
622	2548	1542
623	2553	1538
624	2557	1534
625	2561	1530
626	2564	1525
627	2567	1521
628	2572	1517
629	2575	1512
630	2579	1508
631	2583	1504
632	2586	1499
633	2590	1495
634	2593	1490
635	2597	1486
636	2600	1481
637	2605	1478
638	2609	1474
639	2612	1469
640	2616	1465
641	2621	1461
642	2624	1457
643	2628	1452
644	2631	1448
645	2635	1444
646	2639	1440
647	2642	1435
648	2647	1431
649	2650	1427
650	2655	1423
651	2659	1419
652	2664	1415
653	2670	1412
654	2674	1408
655	2678	1404
656	2683	1400
657	2687	1396
658	2690	1392
659	2694	1387
660	2697	1383
661	2701	1379
662	2705	1375
663	2708	1370
664	2713	1366
665	2717	1363
666	2721	1358
667	2725	1354
668	2730	1351
669	2734	1347
670	2737	1342
671	2741	1338
672	2744	1333
673	2750	1330
674	2755	1326
675	2760	1323
676	2765	1319
677	2769	1315
678	2772	1310
679	2776	1306
680	2781	1302
681	2785	1298
682	2790	1295
683	2796	1291
684	2801	1288
685	2806	1284
686	2812	1281
687	2817	1277
688	2822	1274
689	2828	1270
690	2832	1266
691	2836	1262
692	2840	1258
693	2845	1254
694	2850	1250
695	2855	1247
696	2859	1242
697	2863	1238
698	2867	1234
699	2872	1230
700	2876	1226
701	2880	1222
702	2884	1218
703	2887	1214
704	2890	1209
705	2895	1205
706	2899	1201
707	2903	1197
708	2907	1193
709	2911	1189
710	2915	1185
711	2920	1181
712	2923	1176
713	2927	1172
714	2930	1168
715	2935	1164
716	2940	1160
717	2944	1156
718	2947	1152
719	2951	1147
720	2956	1144
721	2960	1139
722	2964	1135
723	2969	1132
724	2975	1128
725	2980	1124
726	2984	1120
727	2988	1116
728	2994	1113
729	2998	1109
730	3002	1104
731	3007	1101
732	3011	1096
733	3014	1092
734	3019	1088
735	3024	1084
736	3028	1080
737	3034	1077
738	3039	1073
739	3044	1069
740	3049	1065
741	3052	1061
742	3057	1057
743	3062	1053
744	3066	1049
745	3075	1047
746	3081	1043
747	3087	1040
748	3093	1036
749	3098	1032
750	3104	1029
751	3109	1025
752	3114	1021
753	3120	1018
754	3124	1014
755	3128	1009
756	3132	1005
757	3137	1001
758	3142	997
759	3147	993
760	3152	990
761	3157	986
762	3162	982
763	3165	977
764	3170	973
765	3174	969
766	3178	965
767	3183	961
768	3188	957
769	3193	953
770	3197	949
771	3201	945
772	3205	941
773	3209	937
774	3215	933
775	3219	929
776	3222	924
777	3227	921
778	3231	916
779	3235	912
780	3239	908
781	3244	904
782	3248	900
783	3251	895
784	3255	891
785	3259	887
786	3262	883
787	3267	878
788	3271	874
789	3276	870
790	3280	866
791	3283	862
792	3286	857
793	3289	853
794	3293	849
795	3297	845
796	3302	841
797	3306	836
798	3310	832
799	3315	828
800	3320	824
801	3324	820
802	3328	816
803	3331	812
804	3335	808
805	3340	803
806	3344	799
807	3349	795
808	3354	791
809	3358	787
810	3362	783
811	3366	779
812	3371	775
813	3374	771
814	3379	767
815	3383	762
816	3387	758
817	3391	754
818	3398	750
819	3403	747
820	3410	743
821	3414	739
822	3419	735
823	3424	731
824	3429	727
825	3435	723
826	3441	719
827	3445	715
828	3450	711
829	3455	707
